instance,n_K,n_C,n_S,n_D,B,tier_used,rev_total,heur_profit,heur_runtime,heur_feasible,greedy_profit,greedy_runtime,greedy_feasible,ub_profit,ub_runtime,ub_status,opt_profit,opt_runtime,opt_status,n_accepted_h,n_accepted_g,n_upgrades_h,n_upgrades_g,scenario,block,seed
M3_imbalanced_flow_03.txt,200,20,8,5,4000,2,691100,-22000,0.0019998550415039062,True,-279700,0.0029997825622558594,True,449300.0,0.00500035285949707,ok,,,skipped,86,106,8,22,M3_imbalanced_flow,B,20922514
M3_imbalanced_flow_04.txt,200,20,8,5,4000,2,700900,-207800,0.0010004043579101562,True,-584600,0.004669904708862305,True,337300.0,0.007451057434082031,ok,,,skipped,72,87,4,17,M3_imbalanced_flow,B,20922515
M3_imbalanced_flow_05.txt,200,20,8,5,4000,2,597300,10500,0.0010008811950683594,True,-315900,0.0019998550415039062,True,509100.0,0.00400090217590332,ok,,,skipped,84,100,10,21,M3_imbalanced_flow,B,20922516
M3_imbalanced_flow_06.txt,200,20,8,5,4000,2,633500,-54100,0.0020003318786621094,True,-314200,0.004115104675292969,True,502100.0,0.006159782409667969,ok,,,skipped,82,104,7,23,M3_imbalanced_flow,B,20922517
M3_imbalanced_flow_07.txt,200,20,8,5,4000,2,601000,-74900,0.003000020980834961,True,-404300,0.003000497817993164,True,480100.0,0.004001140594482422,ok,,,skipped,76,96,8,30,M3_imbalanced_flow,B,20922518
M3_imbalanced_flow_08.txt,200,20,8,5,4000,2,595500,6900,0.0010004043579101562,True,-409500,0.002000093460083008,True,414900.0,0.0050008296966552734,ok,,,skipped,89,88,16,21,M3_imbalanced_flow,B,20922519
M3_imbalanced_flow_09.txt,200,20,8,5,4000,2,641200,15400,0.004000425338745117,True,-269000,0.001997232437133789,True,506200.0,0.005000114440917969,ok,,,skipped,86,103,12,25,M3_imbalanced_flow,B,20922520
M3_imbalanced_flow_10.txt,200,20,8,5,4000,2,634700,-128200,0.001005411148071289,True,-530200,0.004221916198730469,True,511700.0,0.00500178337097168,ok,,,skipped,70,96,11,23,M3_imbalanced_flow,B,20922521
M3_imbalanced_flow_11.txt,200,20,8,5,4000,2,621700,10000,0.0030007362365722656,True,-242900,0.003000020980834961,True,485800.0,0.004000186920166016,ok,,,skipped,77,108,5,23,M3_imbalanced_flow,B,20922522
M3_imbalanced_flow_12.txt,200,20,8,5,4000,2,611900,-16900,0.0019998550415039062,True,-399400,0.0020012855529785156,True,437000.0,0.0049991607666015625,ok,,,skipped,87,97,10,21,M3_imbalanced_flow,B,20922523
